EXPOCODE,Cruise_ID,Sample_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Latitude,Longitude,Depth,Temperature,Salinity,Salinity_flag,DIC,DIC_flag,TA,TA_flag,Silicate,Silicate_flag,Phosphate,Phosphate_flag,Nitrate,Nitrate_flag,Nitrite,Nitrite_flag,Nitrate_and_Nitrite,Nitrate_and_Nitrite_flag,Ammonium,Ammonium_flag
06SN20201204,SO279,31,2020,12,23,21:52:00,33.28972222222222,-29.28555555555556,3,20.6626,36.81218747207803,2.0,2113.414089447774,2.0,2419.555150048877,2.0,0.5614211202816868,2.0,0.0146203416740022,2.0,0.0964942550484148,2.0,0.0146203416740022,2.0,0.1111145967224171,2.0,0.1335324539558872,2.0
06SN20201204,SO279,32,2020,12,24,10:19:00,33.80916666666666,-29.02166666666667,3,20.2268,36.7824250374421,2.0,2113.44156898897,2.0,2408.817043564408,2.0,0.5672167655240256,2.0,0.016568187309121,2.0,0.1491136857820892,2.0,0.0238776817102037,2.0,0.1729913674922929,2.0,1.4511782884283062,2.0
06SN20201204,SO279,33,2020,12,24,23:05:00,33.54527777777778,-26.968611111111112,3,19.7057,36.99605869379805,2.0,2105.9447275669954,2.0,2401.895133047164,2.0,0.6045609927643594,2.0,0.0151018459111161,2.0,0.2158102496330468,2.0,0.0487156319713424,2.0,0.2645258816043893,2.0,0.3892378994510258,2.0
06SN20201204,SO279,34,2020,12,25,11:15:00,33.507777777777775,-25.29138888888889,3,19.5135,36.810363222337806,2.0,2112.59959816396,2.0,2402.0454291910555,2.0,0.594383599521615,3.0,0.0097439934347805,2.0,0.0876959409130251,2.0,0.0433607707847734,2.0,0.1310567116977986,2.0,0.2499334316021216,2.0
06SN20201204,SO279,35,2020,12,25,21:39:00,33.73027777777777,-24.217777777777776,3,19.5607,36.72956698782549,2.0,2114.3409249637925,2.0,2401.384313996248,2.0,0.543266878736652,2.0,0.0107191671140864,2.0,0.0594426539962973,2.0,0.0229000388346391,2.0,0.0823426928309364,2.0,0.1763790225136036,2.0
06SN20201204,SO279,36,2020,12,26,10:55:00,34.173611111111114,-22.774444444444445,3,19.0308,28.885645951271663,3.0,2129.3845049569827,2.0,2407.729541001827,2.0,0.5826441209764017,3.0,0.011760688732913,3.0,0.1058461985962176,3.0,0.0396923244735816,3.0,0.1455385230697992,3.0,0.3268491410355424,3.0
06SN20201204,SO279,37,2020,12,26,22:42:00,34.92083333333333,-21.71583333333333,3,18.4386,-999.0,4.0,2126.3955973647458,3.0,2379.740040590603,2.0,-999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0,9.0
06SN20201204,SO279,38,2020,12,28,15:16:00,35.42527777777778,-20.92277777777777,3,18.2134,36.57662897052267,2.0,2120.88492451375,3.0,2394.05969727139,2.0,0.5972167679580503,2.0,0.0077940198102192,2.0,0.0983995001040179,2.0,0.0238691856687964,2.0,0.1222686857728145,2.0,0.2308978368777454,2.0
06SN20201204,SO279,39,2020,12,28,21:39:00,35.63583333333333,-20.46,3,17.7627,36.5334071291377,2.0,2122.7123205831367,2.0,2389.894912447467,2.0,0.6332153453029321,2.0,0.0155868392689952,2.0,0.1933742246809723,2.0,0.0175351941776196,2.0,0.2109094188585919,2.0,0.1397944646938012,2.0
06SN20201204,SO279,40,2020,12,29,10:58:00,37.18194444444445,-18.83638888888889,3,16.297,36.27206274636493,2.0,2121.621542082418,2.0,2374.1837455592567,2.0,0.7134796941568002,2.0,0.0399353821985376,2.0,0.619485440933413,2.0,0.0740265621241184,2.0,0.6935120030575315,2.0,0.1704558996279045,2.0
06SN20201204,SO279,41,2020,12,29,22:44:00,38.61305555555556,-17.31388888888889,3,16.4601,36.25519013462464,2.0,2117.4376332473294,2.0,2374.6071649437663,2.0,0.6200033801694911,2.0,0.0272743042336932,2.0,0.2396242443388763,2.0,0.0263002219396327,2.0,0.2659244662785091,2.0,0.1344233565803452,2.0
06SN20201204,SO279,42,2020,12,30,12:04:00,40.22916666666666,-15.524444444444445,3,15.7643,36.10846000000001,2.0,2114.7706973441805,3.0,2364.8530261252063,2.0,0.6175390650167778,2.0,0.0409095279664111,2.0,0.400815970432814,2.0,0.074026764891601,2.0,0.4748427353244151,2.0,0.176300584807629,2.0
06SN20201204,SO279,43,2020,12,30,19:26:00,41.10722222222223,-14.548333333333334,3,15.2404,36.12216000000001,2.0,2116.746677504704,2.0,2363.350105314866,2.0,0.8833399176928096,2.0,0.1110261859062627,2.0,1.6882797655132142,2.0,0.1037218315703243,2.0,1.7920015970835388,2.0,0.1655653649479356,2.0
06SN20201204,SO279,44,2020,12,30,19:48:00,41.38611111111111,-14.461388888888887,3,15.126,36.09886,2.0,2123.616362652146,2.0,2363.2918528895952,2.0,0.8711595597418802,2.0,0.1124862259923835,2.0,1.640058914036139,2.0,0.1144340394294811,2.0,1.7544929534656195,2.0,0.1626424219976455,2.0
06SN20201204,SO279,45,2020,12,30,20:01:00,41.33611111111111,-14.476944444444444,3,15.1109,36.09996,2.0,2117.1467446017755,2.0,2363.882988480763,2.0,0.8667734236865623,2.0,0.0925207587081161,2.0,1.2957775732752483,2.0,0.1032336886637927,2.0,1.3990112619390414,2.0,0.1821198092465023,2.0
06SN20201204,SO279,46,2020,12,30,20:14:00,41.28694444444445,-14.224166666666669,3,15.085,36.09116,2.0,2123.621159644972,2.0,2361.8034340959457,2.0,0.8692090471817204,2.0,0.0871643806417523,2.0,1.1550497814650087,2.0,0.0983642731264467,2.0,1.2534140545914556,2.0,0.177737424213629,2.0
06SN20201204,SO279,47,2020,12,30,20:30:00,41.34361111111111,-14.38472222222222,3,15.0484,36.080560000000006,2.0,2119.8021187459826,2.0,2360.7782161485966,2.0,0.8365833079991032,2.0,0.0964164697228302,2.0,1.350804479854198,2.0,0.114920640679737,2.0,1.4657251205339352,2.0,0.1694592498158835,2.0
06SN20201204,SO279,48,2020,12,30,20:47:00,41.445277777777775,-14.2275,3,14.872,36.00786000000001,2.0,2122.857270272966,2.0,2359.4604312606234,2.0,0.8244232204574972,2.0,0.0745048746190177,2.0,1.017259366530249,2.0,0.1032355125439984,2.0,1.1204948790742475,2.0,0.3145761372802972,2.0
06SN20201204,SO279,49,2020,12,30,21:05:00,41.57111111111111,-14.3125,3,14.7409,35.954260000000005,2.0,2113.264186525387,2.0,2355.9270221597158,2.0,0.7518753904795392,2.0,0.1032367764129937,2.0,1.2953293644271855,2.0,0.1723859379726404,2.0,1.4677153023998262,2.0,0.1606987557372072,2.0
06SN20201204,SO279,50,2020,12,30,21:23:00,41.43638888888889,-14.126111111111111,3,14.6945,35.89276,2.0,2129.3174596483755,3.0,2352.298864412712,2.0,0.7738169895549198,2.0,0.1149281369005418,2.0,1.4263750550071492,2.0,0.1991763050522103,2.0,1.6255513600593594,2.0,0.1538868273753018,2.0
06SN20201204,SO279,51,2020,12,30,21:36:00,41.63722222222222,-14.150833333333331,3,14.7241,35.91196000000001,2.0,2113.9801146508757,2.0,2353.798370644324,2.0,0.7674799603298166,2.0,0.082299564273946,2.0,1.0557719251237578,2.0,0.1470678604185308,2.0,1.2028397855422883,2.0,0.3160498059987632,2.0
